lexicon,homophones_type, homophones_token ,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,bppair,tdpair,kgpair,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5
17,0,0,14288,17109,4.9978027228,6197,0.160863569209,0.332662759148,65,120,48,4.4429609855,8.61323414695,11.6276945617,12.1152035836,11.4515689262,0.0,0.0298531547523,0.462159109246,0.951750847184,0.998063579151
18,0,0,14443,17212,4.9943713263,6197,0.161177908663,0.339799102397,74,121,67,4.44066441076,8.58928188067,11.668424918,12.133450061,11.4529929205,0.0,0.0303372599645,0.464579635307,0.966435371954,0.998709052767
19,0,0,14615,17398,4.99610252071,6197,0.162964780743,0.334103303345,66,114,56,4.41589577106,8.57551413104,11.6454924227,12.1196718048,11.4537049177,0.0,0.026625786671,0.46506374052,0.956107794094,0.999031789576
20,0,0,14378,17254,4.99587328174,6197,0.163435299673,0.335234221845,75,116,45,4.43319558684,8.55845422057,11.6538344524,12.1245976573,11.4522809234,0.0,0.029046312732,0.474423107955,0.960787477812,0.998386315959
21,0,0,14336,17168,4.99447685645,6197,0.163439308738,0.33334203769,67,132,49,4.42293400373,8.58927276012,11.6576128878,12.1303305293,11.4529929205,0.0,0.0280781023076,0.473939002743,0.962885267065,0.998709052767
22,0,0,13859,16580,4.99736351739,6197,0.160030080043,0.338082186741,66,109,52,4.43827047609,8.62331894704,11.6751199564,12.1192897946,11.4529929205,0.0,0.0298531547523,0.47022752945,0.95594642569,0.998709052767
23,0,0,14558,17375,4.99455873867,6197,0.157271682339,0.337609494046,61,141,45,4.43066281158,8.6005706181,11.659400454,12.1218732176,11.4544169148,0.0,0.0288849443279,0.468936582217,0.958528320155,0.999354526384
24,0,0,13831,16538,5.00041180717,6197,0.155226447146,0.334348691403,67,122,59,4.45154567593,8.62012995687,11.683368694,12.1302735513,11.4529929205,0.000161368404066,0.0296917863482,0.474907213168,0.963046635469,0.998709052767
25,0,0,14100,16917,4.99677799698,6197,0.162071109282,0.333682109301,61,123,54,4.44757406521,8.60243469923,11.6514024483,12.1196148269,11.455128912,0.0,0.0282394707116,0.46667742456,0.955623688882,0.999677263192
26,0,0,14141,16937,4.99747545434,6197,0.162249191008,0.33291883201,63,107,66,4.45219361844,8.62150730454,11.6844428149,12.123059391,11.4544169148,0.0,0.0298531547523,0.48136194933,0.958205583347,0.999354526384
27,0,0,14366,17169,4.99531443035,6197,0.159700207645,0.335657411609,68,111,43,4.43863248584,8.58517647472,11.6570630664,12.1240830481,11.4522809234,0.0,0.0313054703889,0.462965951267,0.958689688559,0.998386315959
28,0,0,14569,17321,4.99781230698,6197,0.166723693475,0.335882740637,74,132,57,4.43433537705,8.5973234456,11.6529654261,12.1244080804,11.455128912,0.0,0.0313054703889,0.466354687752,0.959657898983,0.999677263192
29,0,0,14677,17559,4.99458894967,6197,0.161237522451,0.336424887007,68,116,54,4.42536371354,8.55039465578,11.6408339256,12.1209065384,11.4544169148,0.0,0.029046312732,0.45715668872,0.956591899306,0.999354526384
