)bR	ombres
R8iso	ruisseaux
R9S	rushes
R@	rends
R@buRse	remboursés
R@dR	rendre
R@done	randonnées
R@dy	rendus
R@fOR	renforts
R@k)tR	rencontres
R@k9R	rancoeurs
R@kaR	rencards
R@kaRde	rencardés
R@kyn	rancunes
R@nS	ranches
R@p	rampes
R@paR	remparts
R@pli	remplît
R@s)	rançons
RE	rets
REN	règnes
REg	reg
REks	rex
REktifje	rectifiés
REptil	reptiles
REskape	rescapés
REskus	rescousse
REspE	respects
REspEktif	respectifs
REspiRe	respirés
REst	restes
REstR5dR	restreindre
REstit8e	restitués
REstoRe	restaurés
REv	rêves
REz)	raisons
REz5	raisins
RON	rognes
ROS	roches
ROb	robes
ROk	roques
ROl	rolle
ROl9R	rollers
ROsbif	rosbifs
Ra	raz
Rab	rabs
Rab5	rabbins
RabaSe	rabâchées
Rad	rads
Rad5	radins
RadaR	radars
Radi	radis
Radjat9R	radiateurs
Radjo	radios
Radote	radoté
Rafal	rafales
Rafine	raffinés
Rafjo	rafiots
Rafl	rafles
Rago	ragots
Ragu	ragoûts
Rajd9R	raiders
Rak)te	racontés
RakEt	raquettes
Rakaj	racailles
Rakle	raclés
RaklyR	raclures
Rali	rallyes
Ram	rams
Ramad@	ramadan
Ramasi	ramassis
Ramo	rameaux
Rap	râpes
RapatRije	rapatriés
Rapid	rapides
Rasazje	rassasiés
Rasin	racines
Rasjal	raciales
Rat)	ratons
Ratise	ratissés
Rav	raves
Rav5	ravins
RavaZ	ravages
RaviR	ravirent
Ravitaje	ravitaillés
Ravive	ravivée
Ravjoli	raviolis
Raze	rasés
RazwaR	rasoirs
Re	ré
ReZiR	régir
ReZj)	régions
Realize	réalisés
Rebelj)	rébellions
Red8iR	réduire
RediZe	rédigés
RefEktwaR	réfectoires
RefeRe	référés
ReflEks	réflexes
RefleSi	réfléchît
RefyZje	réfugiés
Refyte	réfutées
Regat	régates
Rege	reggaes
Regle	réglés
RejyR	rayures
Rek)p@s	récompenses
Rek)silje	réconciliés
Rek8ijEm	requiems
RekOlt	récoltes
RekRe	récrés
Rekizisjone	réquisitionnés
Reklam	réclames
RekyR@	récurrents
RekypeRe	récupérés
RemyneRe	rémunérés
Renove	rénovés
Rep)s	réponses
RepERtwaR	répertoires
RepRim@d	réprimand
Repete	répétés
Replik	répliques
RepyNe	répugnée
Repyblik5	républicains
Repydje	répudiés
Repyte	réputés
Resif	récifs
ResipROk	réciproques
Resipj@	récipients
Resital	récitals
RetRakte	rétractés
RetResiR	rétrécirent
Retis@	réticents
RevEj)	réveillons
RevOlt	révoltes
RevOlvER	revolvers
Reve	rêvés
ReveR@	révérends
Revele	révélés
Revoly	révolus
Reysit	réussites
RezERv	réserves
RezERvwaR	réservoirs
ReziNe	résignés
Rezid@	résidents
Rezide	résidé
Rezidy	résidus
Reziste	résisté
Rezo	réseaux
Rezoly	résolut
Rezone	résonné
RezudR	résoudre
Rezylta	résultats
Rezyme	résumés
RiG	rings
RiR	rires
RiS	riches
RiZid	rigides
Rid	rides
Ridikyl	ridicules
Rido	rideaux
Rig9R	rigueurs
RigOl	rigoles
Rigole	rigolé
Rikane	ricané
Rim	rîmes
RinoseROs	rhinocéros
RipOst	ripostes
Ripu	ripoux
Risk	risques
Rit8El	rituels
Ritm	rythmes
Riv	rives
Rival	rivales
RivjER	rivières
Rize	risées
Rj5	riens
Ro	rôts
RoN)	rognons
RobER	roberts
RobinE	robinets
Robo	robots
Robyst	robustes
Rode	rôdés
Rodeo	rodéos
Rok9R	rockeurs
Rom@	romans
RomaR5	romarin
RosiNOl	rossignols
RotiR	rôtir
Rotyl	rotules
RozER	rosaires
RoziR	rosir
Rozo	roseaux
Ru	roux
RuZ	rouges
Rubl	roubles
Ruj	rouilles
Ruk5	rouquins
Rul	roules
RulOt	roulottes
Rulo	rouleaux
Rund	rounds
Rupije	roupillé
Rus9R	rousseurs
Rusi	roussit
Ruspete	rouspétez
Rutin	routines
Rutje	routiers
Rwajal	royales
Rwajom	royaumes
Rwe	roués
Ry	rus
RyRal	rurales
RyS	ruches
RyZiR	rugirent
Ryb@	rubans
RybRik	rubriques
Rybi	rubis
Ryd	rudes
Rygbi	rugby
Rym	rhumes
Rymine	ruminés
RyptyR	ruptures
RystR	rustres
Rystik	rustiques
S(m5	chemins
S(mine	cheminées
S(mino	cheminots
S(miz	chemises
S(nap@	chenapans
S(nij	chenilles
S(nil	chenils
S(v2	cheveux
S(vE	chevets
S(vR)	chevrons
S(vR9j	chevreuils
S(val	cheval
S(vij	chevilles
S(voSe	chevauchés
S5p@ze	chimpanzés
S@	chants
S@Z	changes
S@bR	chambres
S@bule	chamboulés
S@dEl	chandelles
S@paN	champagnes
S@pj)	champions
S@pw5	shampooings
S@s(le	chancelé
S@s)	chansons
S@taZ	chantages
S@tje	chantiez
SER	chères
SERSe	cherchés
SERif	sheriff
SEf	chefs
SEk	scheik
SEn	chênes
SEvR	chèvres
SEz	chaises
SORt	shorts
SOk	choquent
SOpe	chopper
SOpiG	shoppings
Sa	shahs
SaR	chars
SaRON	charognes
SaRZ	charges
SaRabja	charabias
SaRb)	charbons
SaRite	charités
SaRjo	chariots
SaRkyte	charcutés
SaRlat@	charlatans
SaRm	charmes
SaRt	chartes
SaRy	charrues
Saba	shabbat
SagR5	chagrins
Sakal	chacals
Sal	shale
Sal9R	chaleurs
SalE	chalets
Salymo	chalumeaux
Salytje	chalutiers
Saman	shamans
Samo	chameaux
Sap(R)	chaperons
Sap)	chapons
SapEl	chapelles
SapitR	chapitres
Sapito	chapiteaux
Sapo	chapeaux
Sase	chassés
Sast	chastes
SatEN	châtaignes
Satje	châtiez
Sato	châteaux
Satuje	chatouillés
SaviRe	chavirés
Say	chahuts
Se	chez
SeRiR	chérir
SeRif	shérifs
SeRyb5	chérubins
Sekje	chéquiers
Sema	schémas
SiN)	chignons
SiRyRZi	chirurgies
SiS	chiches
SiSi	chichis
Sif)	chiffons
SifR	chiffres
Sik	chiques
Sili	chili
SiliG	shillings
SimER	chimères
Sinwa	chinois
Sip	chipe
Sit	shit
Sj5	chiens
Sje	chiés
So	shows
SoSOt	chochottes
SodR)	chaudrons
SodjER	chaudières
SofaR	chauffards
Sofe	chauffés
Soke	choqués
Sokola	chocolats
Some	chômés
SomjER	chaumières
Sope	chopés
Sos)	chaussons
SosyR	chaussures
Sov	chauves
Su	choux
SuSu	chouchous
SukRut	choucroutes
Sut	shoots
SwEt	chouettes
Swa	choix
SwaR	choir
SwaziR	choisirent
SySote	chuchotés
Syt	chutes
Z(le	gelés
Z(nu	genoux
Z(t)	jetons
Z(te	jetés
Z)gle	jonglé
Z1gl	jungles
Z2	jeux
Z2di	jeudis
Z2n	jeûnes
Z5Z@bR	gingembre
Z5dR	geindre
Z85	juin
Z8if	juifs
Z8ijE	juillets
Z9n	jeunes
Z9nki	junkies
Z9no	jeunots
Z@	jans
Z@R	genres
Z@b	jambes
Z@b)	jambons
Z@dR	gendres
Z@daRm	gendarmes
Z@siv	gencives
Z@t	jantes
Z@ti	gentils
Z@vje	janvier
ZERb	gerbes
ZERm	germes
ZERm5	germains
ZEl	gèles
ZEn	gênes
ZEst	gestes
ZaR	jars
ZaRE	jarrets
ZaRd5	jardins
ZaRg)	jargons
Zadis	jadis
ZajiR	jaillirent
Zak	jacques
Zakase	jacassé
Zakpo	jackpot
Zakyzi	jacuzzis
Zalu	jaloux
ZamE	jamais
Zap	japs
Zasm5	jasmins
ZavEl	javelles
Zaze	jasé
ZeRanjOm	géraniums
ZeRe	gérés
ZemiR	gémirent
Zene	gênés
ZeneRe	générés
Zeni	jenny
Zez8it	jésuites
ZeziR	gésir
Zezy	jésus
ZiRaf	girafes
ZibE	gibets
Zibje	gibiers
Zifl	gifles
Zigo	gigots
Zigolo	gigolos
Zikle	giclées
ZilE	gilets
Zim	gym
Zit	gîtes
Zit)	gitons
Zit@	gitans
ZivRe	givrés
ZoZ	jauges
ZoZo	jojos
ZokE	jockeys
ZokER	jokers
Zoli	jolis
Zon	jaunes
Zu	jougs
ZuR	jours
ZuRnal	journal
ZuRne	journées
ZuZu	joujoux
Zut	joutes
Zw5	joints
Zwa	jouât
